iterCount,type,time,latitude,longitude,depth,scalar,AnomalyScore,AnomalyMean_Windowsize,AnomalyLikelihood,logLikelihood,place,id,prediction
37,earthquake,2010-05-21T18:52:06.000Z,-34.64,-71.969,7.3,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,"Libertador General Bernardo O'Higgins, Chile",usp000hd0s,None
38,earthquake,2010-05-21T18:52:12.000Z,-34.52,-71.64,37.2,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,"Libertador General Bernardo O'Higgins, Chile",gcmt20100521185212,None
39,earthquake,2010-05-22T06:15:17.400Z,-56.236,-139.157,15,5.7,1.0,"(1.0, None)",0.5,0.0301029996658834,Pacific-Antarctic Ridge,usp000hd18,None
40,earthquake,2010-05-22T09:58:56.270Z,-20.613,168.417,38.3,5.2,1.0,"(1.0, None)",0.5,0.0301029996658834,"Loyalty Islands, New Caledonia",usp000hd1q,None
41,earthquake,2010-05-22T17:30:58.800Z,32.616,-115.773,3.5,5.1,1.0,"(1.0, None)",0.5,0.0301029996658834,"Baja California, Mexico",usp000hd1z,None
42,earthquake,2010-05-23T13:28:16.590Z,35.962,4.142,1,5.2,1.0,"(1.0, None)",0.5,0.0301029996658834,northern Algeria,usp000hd38,None
43,earthquake,2010-05-23T19:32:41.930Z,-17.879,168.988,10,5,1.0,"(1.0, None)",0.5,0.0301029996658834,Vanuatu,usp000hd3k,None
44,earthquake,2010-05-23T20:19:25.400Z,-17.843,168.94,10,5.4,1.0,"(1.0, None)",0.5,0.0301029996658834,Vanuatu,usp000hd3n,None
45,earthquake,2010-05-23T22:46:52.050Z,-13.928,-74.352,101.4,6.1,1.0,"(1.0, None)",0.5,0.0301029996658834,central Peru,usp000hd3r,None
46,earthquake,2010-05-24T16:18:29.090Z,-8.087,-71.558,581.2,6.5,1.0,"(1.0, None)",0.5,0.0301029996658834,"Acre, Brazil",usp000hd4k,None
47,earthquake,2010-05-24T23:57:31.000Z,-36.34,-73.6,26.9,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,"offshore Bio-Bio, Chile",gcmt20100524235731,None
48,earthquake,2010-05-24T23:57:37.500Z,-36.25,-73.106,35,5.3,1.0,"(1.0, None)",0.5,0.0301029996658834,"offshore Bio-Bio, Chile",usp000hd4z,None
